Options:
Model:                           Discrete: Independent
Tree File Name:                  /Users/sarthakshukla/Desktop/MorphTest/GallWasps_Morph.nex.run1.t
Data File Name:                  /Users/sarthakshukla/Desktop/MorphTest/gallwasps_charmatrix.txt
Log File Name:                   1000TreesDependentTest.log.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2033153405
Analsis Type:                    Maximum Likelihood
ML Attempt Per Tree:             10
ML Max Evaluations:              20000
ML Tolerance:                    0.000001
ML Algorithm:                    BOBYQA
Rate Range:                      0.000000 - 100.000000
Precision:                       64 bits
Cores:                           1
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Tree Information
     Trees:                      1001
     Taxa:                       41
     Sites:                      1
     States:                     4
Tree No	Lh	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
141	-36.527299	100.000000	87.500032	50.000368	100.000000	0.250000	0.250000	0.250000	0.250000	
142	-36.501072	15.936699	13.904388	42.655735	85.311450	0.250000	0.250000	0.250000	0.250000	
143	-36.461230	100.000000	87.502501	0.860603	4.289641	0.192865	0.307135	0.192865	0.307135	
144	-35.569485	100.000000	87.502475	0.211052	3.541123	0.087306	0.412694	0.087306	0.412694	
145	-35.458961	100.000000	87.501162	0.279036	3.478772	0.118207	0.381793	0.118207	0.381793	
146	-36.527304	100.000000	87.500072	50.000501	100.000000	0.250000	0.250000	0.250000	0.250000	
147	-36.528222	100.000000	87.506160	50.017351	100.000000	0.250000	0.250000	0.250000	0.250000	
148	-36.527440	100.000000	87.500917	50.003437	100.000000	0.250000	0.250000	0.250000	0.250000	
149	-36.527627	100.000000	87.501925	50.007167	100.000000	0.250000	0.250000	0.250000	0.250000	
150	-36.534687	100.000000	87.550755	50.096617	100.000000	0.250000	0.250000	0.250000	0.250000	
151	-36.529902	100.000000	87.517308	50.040957	100.000000	0.250000	0.250000	0.250000	0.250000	
152	-36.424645	18.702637	16.099757	12.586875	24.901354	0.250000	0.250000	0.250000	0.250000	
153	-36.527287	99.769445	87.298300	49.978118	99.956242	0.250000	0.250000	0.250000	0.250000	
154	-36.500204	18.718075	16.389023	50.000240	100.000000	0.250000	0.250000	0.250000	0.250000	
155	-36.527320	100.000000	87.500148	50.000901	100.000000	0.250000	0.250000	0.250000	0.250000	
156	-36.463407	18.164187	15.916532	50.002137	100.000000	0.250000	0.250000	0.250000	0.250000	
157	-36.480745	21.131609	18.519874	50.004803	100.000000	0.250000	0.250000	0.250000	0.250000	
158	-36.500833	20.908472	18.263262	50.001340	100.000000	0.250000	0.250000	0.250000	0.250000	
159	-36.527474	100.000000	87.500991	50.004299	100.000000	0.250000	0.250000	0.250000	0.250000	
160	-36.515146	100.000000	87.500050	12.507765	24.881203	0.250000	0.250000	0.250000	0.250000	
161	-36.512074	18.700726	16.393934	50.000053	100.000000	0.250000	0.250000	0.250000	0.250000	
162	-36.509656	31.377395	27.346987	18.076977	35.990023	0.250000	0.250000	0.250000	0.250000	
163	-36.527246	100.000000	87.500015	31.721504	63.438163	0.250000	0.250000	0.250000	0.250000	
164	-36.527288	100.000000	87.500022	50.000053	100.000000	0.250000	0.250000	0.250000	0.250000	
165	-36.527293	100.000000	87.500041	50.000187	100.000000	0.250000	0.250000	0.250000	0.250000	
166	-36.527296	100.000000	87.500188	50.000338	100.000000	0.250000	0.250000	0.250000	0.250000	
167	-36.527289	100.000000	87.500009	50.000052	100.000000	0.250000	0.250000	0.250000	0.250000	
168	-36.390401	22.027294	19.260106	2.183784	5.779623	0.231504	0.268496	0.231504	0.268496	
